book_id,genre
502889,Westerns
502889,Fiction
502889,Classics
502889,Adventure
502889,Novels
396329,Science Fiction
396329,Fiction
396329,Classics
613897,Young Adult
613897,Humor
613897,Romance
613897,Fiction
613897,Contemporary
613897,Realistic Fiction
613897,Sexuality
70700,Novels
70700,Fiction
70700,Cultural
70700,France
70700,European Literature
70700,French Literature
121356,Westerns
121356,Fiction
121356,Adventure
648640,Mystery
648640,Fiction
648640,Crime
648640,Noir
648640,Detective
2,Fantasy
2,Young Adult
2,Fiction
591352,Fiction
591352,Classics
591352,Mystery
591352,Crime
591352,Noir
591352,Thriller
762645,Mystery
762645,Fiction
762645,Thriller
762645,Mystery Thriller
762645,Crime
762645,Media Tie In
762645,Movies
457641,Mystery
457641,Fiction
457641,Noir
457641,Crime
457641,Thriller
121227,Westerns
121227,Fiction
121227,Romance
121227,Historical
81648,Fiction
81648,War
81648,Historical
81648,Historical Fiction
81648,Young Adult
81648,Coming Of Age
13504675,Humor
13504675,Fiction
13504675,Novels
1209527,Fantasy
1209527,Fiction
1209527,Romance
1209527,Science Fiction
1209527,Time Travel
1209527,Classics
124272,Classics
124272,Fiction
124272,Literature
415419,Fiction
415419,Classics
415419,Literature
415419,American
594430,Fiction
1141654,Fiction
1141654,Cultural
1141654,Australia
1141654,Young Adult
1141654,Classics
1141654,Adventure
1141654,Survival
56187,Westerns
56187,Historical
56187,Historical Fiction
56187,Romance
56187,Fiction
56187,Classics
926216,Fiction
926216,Romance
926216,Mystery
926216,Thriller
10799,Classics
10799,Fiction
10799,Historical
10799,Historical Fiction
10799,War
10799,Literature
287625,Horror
287625,Fiction
287625,Science Fiction
287625,Dystopia
287625,Thriller
10975,Classics
10975,Fiction
10975,Literature
10975,Novels
6,Fantasy
6,Young Adult
6,Fiction
6,Magic
6,Childrens
6,Adventure
6,Audiobook
6,Middle Grade
6,Science Fiction Fantasy
6,Classics
2865,Historical
2865,Historical Fiction
2865,Fiction
2865,Classics
2865,Art
2865,Romance
2865,Adult Fiction
2865,Adult
2865,Novels
2865,Literature
3236244,Mystery
3236244,Fiction
3236244,Crime
418233,Fiction
418233,Lgbt
418233,European Literature
418233,Spanish Literature
929782,Classics
929782,Fiction
929782,Literature
929782,American
29981,Classics
29981,Science Fiction
29981,Fiction
29981,Horror
29981,Fantasy
12187086,Cultural
12187086,France
12187086,Classics
12187086,Fiction
12187086,Childrens
12187086,European Literature
12187086,French Literature
12187086,Adventure
15241,Fantasy
15241,Fiction
15241,Classics
15241,Adventure
984003,Fiction
984003,Mystery
939934,Science Fiction
939934,Fiction
939934,Apocalyptic
939934,Post Apocalyptic
939934,Dystopia
56616,Fiction
56616,Mystery
56616,Noir
56616,Crime
56616,Classics
56616,Thriller
121622,Mystery
121622,Crime
121622,Fiction
121622,Detective
455764,Horror
455764,Fiction
455764,Thriller
455764,Mystery
455764,Fantasy
455764,Paranormal
455764,Supernatural
11371,Fiction
11371,Classics
11371,Politics
11371,Science Fiction
11371,Dystopia
11371,Historical
11371,Historical Fiction
11371,Literature
1066979,Fiction
1066979,Mystery
1066979,Crime
1066979,Thriller
1066979,Noir
1066979,Classics
990086,Aviation
990086,Fiction
6600698,Fiction
6600698,Nobel Prize
410204,Fiction
410204,Thriller
410204,Contemporary
352582,Fiction
352582,Horror
352582,Classics
352582,Thriller
352582,Mystery
352582,Noir
352582,Crime
1279532,Historical
1279532,Historical Fiction
1279532,Military History
1279532,Civil War
1279532,Westerns
54822,Fiction
54822,Westerns
54822,Historical
54822,Historical Fiction
18401124,Romance
18401124,Contemporary Romance
18401124,New Adult
18401124,Contemporary
18401124,Adult Fiction
18401124,Erotica
18401124,Adult
1294495,Fiction
1294495,Literature
1294495,Cultural
1294495,Canada
1514286,Fiction
1514286,Classics
1514286,Historical
1514286,Historical Fiction
1514286,Magical Realism
1514286,Literature
4907587,Horror
4907587,Fiction
4907587,Paranormal
4907587,Vampires
4907587,Fantasy
880620,Fiction
880620,Science Fiction
880620,Literature
15881,Fantasy
15881,Young Adult
15881,Fiction
12787,Horror
12787,Fiction
12787,Mystery
12787,Thriller
12787,Crime
12787,Noir
162898,Classics
162898,Fiction
162898,Fantasy
162898,Historical
162898,Historical Fiction
162898,Humor
162898,Science Fiction
162898,Time Travel
162898,Literature
162898,Adventure
162898,Mythology
162898,Arthurian
194934,Science Fiction
194934,Fiction
194934,Classics
194934,Horror
194934,Apocalyptic
194934,Post Apocalyptic
1181977,Fiction
1181977,Classics
1181977,Historical
1181977,Historical Fiction
1181977,Romance
373353,Fiction
373353,Thriller
373353,Classics
373353,Culture
373353,Film
827966,Fiction
827966,Classics
827966,Contemporary
827966,Literature
827966,Novels
73654,Science Fiction
73654,Dystopia
73654,Fiction
73654,Classics
73654,Apocalyptic
73654,Post Apocalyptic
232094,Mystery
232094,Fiction
232094,Crime
232094,Classics
232094,Literature
232094,American
6969,Classics
6969,Fiction
6969,Romance
366260,Fiction
366260,Fantasy
366260,Anthologies
366260,Collections
366260,Short Stories
219919,Historical
219919,Historical Fiction
219919,Fiction
219919,Classics
219919,Christian
219919,Christian Fiction
219919,Religion
54499,Classics
54499,Fiction
54499,Historical
54499,Historical Fiction
54499,Adventure
1834855,Fiction
1834855,Classics
1834855,War
1834855,Literature
1834855,American
1834855,Novels
236093,Classics
236093,Fantasy
236093,Fiction
236093,Childrens
769729,Fiction
769729,Historical
769729,Historical Fiction
769729,Novels
