,BookTitle,BookYear,Author,FilmTitle,FilmYear,full name,tmdb_id
199,Anne of Green Gables,1908,Lucy Maud Montgomery,Anne of Green Gables,1956,Anne of Green Gables 1956,0
200,Anne of Green Gables,1908,Lucy Maud Montgomery,Anne of Green Gables,1972,Anne of Green Gables 1972,0
201,Anne of Green Gables,1908,Lucy Maud Montgomery,Anne of Green Gables,1985,Anne of Green Gables 1985,17663
202,Anne of Green Gables,1908,Lucy Maud Montgomery,Anne of Green Gables: The Continuing Story,2000,Anne of Green Gables: The Continuing Story 2000,570811
203,Anne of Green Gables,1908,Lucy Maud Montgomery,Anne of Green Gables: A New Beginning,2009,Anne of Green Gables: A New Beginning 2009,0
204,L'Année des méduses,1983,Christopher Frank,L'Année des méduses,0,L'Année des méduses 0,0
205,L'Année des méduses,1983,Christopher Frank,Year of the Jellyfish,1984,Year of the Jellyfish 1984,25290
206,The Anointed,1937,Clyde Brion Davis,Adventure,1945,Adventure 1945,44869
207,The Antagonists,1971,Ernest K. Gann,Masada,1987,Masada 1987,0
208,Anthony Adverse,1933,Hervey Allen,Anthony Adverse,1936,Anthony Adverse 1936,37658
209,Antikiller,1999,0,Antikiller,2002,Antikiller 2002,41955
210,Antonieta,1978,Andrés Henestrosa,Antonieta,1982,Antonieta 1982,37187
211,Apache Rising,1957,Marvin H. Albert,Duel at Diablo,1966,Duel at Diablo 1966,1403
212,A Job for Jenny,0,Faith Baldwin,Apartment for Peggy,1948,Apartment for Peggy 1948,218212
213,The Apocalypse Watch,1995,Robert Ludlum,The Apocalypse Watch,1997,The Apocalypse Watch 1997,30832
214,The Apple Dumpling Gang,1971,Jack Bickham,The Apple Dumpling Gang,1975,The Apple Dumpling Gang 1975,18660
215,The Apple Dumpling Gang,1971,Jack Bickham,The Apple Dumpling Gang Rides Again,1979,The Apple Dumpling Gang Rides Again 1979,22328
216,The Apple Dumpling Gang,1971,Jack Bickham,Tales from the Apple Dumpling Gang,1982,Tales from the Apple Dumpling Gang 1982,0
217,Appointment with Death,1938,Agatha Christie,Appointment with Death,1988,Appointment with Death 1988,4281
218,Appointment with Venus,1951,Jerrard Tickell,Appointment with Venus,1951,Appointment with Venus 1951,140429
219,The Apprenticeship of Duddy Kravitz,1959,Mordecai Richler,The Apprenticeship of Duddy Kravitz,1974,The Apprenticeship of Duddy Kravitz 1974,42451
220,Armageddon 2419 A.D.,1929,0,Buck Rogers,1939,Buck Rogers 1939,248001
221,Armageddon 2419 A.D.,1929,0,Buck Rogers in the 25th Century,1979,Buck Rogers in the 25th Century 1979,3786
222,L'Armée des ombres,1943,Joseph Kessel,L'Armée des ombres,0,L'Armée des ombres 0,0
223,L'Armée des ombres,1943,Joseph Kessel,The Army of Shadows,1969,The Army of Shadows 1969,0
224,Arouse and Beware,1936,MacKinlay Kantor,The Man from Dakota,1940,The Man from Dakota 1940,192510
225,Arrowsmith,1925,Sinclair Lewis,Arrowsmith,1931,Arrowsmith 1931,84298
226,El Asalto,1956,0,El Asalto,0,El Asalto 0,0
227,El Asalto,1956,0,The Robbery,1960,The Robbery 1960,0
228,Ascenseur pour l'échafaud,1951,0,Elevator to the Gallows,1958,Elevator to the Gallows 1958,1093
229,Ask the Dust,1939,John Fante,Ask the Dust,2006,Ask the Dust 2006,1967
230,Asking for Trouble,2001,Elizabeth Young,The Wedding Date,2005,The Wedding Date 2005,6961
231,The Asphalt Jungle,1949,W. R. Burnett,The Asphalt Jungle,1950,The Asphalt Jungle 1950,16958
232,The Asphalt Jungle,1949,W. R. Burnett,The Badlanders,1959,The Badlanders 1959,0
233,"The Assassination Bureau, Ltd",1963,Jack London,The Assassination Bureau,1969,The Assassination Bureau 1969,69526
234,The Assassination of Jesse James by the Coward Robert Ford,1983,Ron Hansen,The Assassination of Jesse James by the Coward Robert Ford,2007,The Assassination of Jesse James by the Coward Robert Ford 2007,4512
235,L'Assommoir,1877,Émile Zola,Gervaise,1956,Gervaise 1956,52726
236,Assunta Spina,1908,Salvatore Di Giacomo,Assunta Spina,1915,Assunta Spina 1915,174203
237,Assunta Spina,1908,Salvatore Di Giacomo,Assunta Spina,1930,Assunta Spina 1930,0
238,Assunta Spina,1908,Salvatore Di Giacomo,Assunta Spina,1948,Assunta Spina 1948,195394
239,Assunta Spina,1908,Salvatore Di Giacomo,Assunta Spina,2006,Assunta Spina 2006,124969
240,The Astronauts,1961,Stanisław Lem,First Spaceship on Venus,1960,First Spaceship on Venus 1960,17938
241,Asylum,1996,Patrick McGrath,Asylum,2005,Asylum 2005,24461
242,At Play in the Fields of the Lord,1965,Peter Matthiessen,At Play in the Fields of the Lord,1991,At Play in the Fields of the Lord 1991,51515
243,At the Earth's Core,1914,Edgar Rice Burroughs,At the Earth's Core,1976,At the Earth's Core 1976,26398
244,At the Earth's Core,1914,Edgar Rice Burroughs,Journey to the Center of the Earth,2008,Journey to the Center of the Earth 2008,88751
245,At the Earth's Core,1914,Edgar Rice Burroughs,Journey to the Center of the Earth,2008,Journey to the Center of the Earth 2008,16929
246,At the Earth's Core,1914,Edgar Rice Burroughs,Journey to the Center of the Earth,2008,Journey to the Center of the Earth 2008,45361
247,Voyage au centre de la Terre,1864,Jules Verne,Journey to the Center of the Earth,2008,Journey to the Center of the Earth 2008,88751
248,Voyage au centre de la Terre,1864,Jules Verne,Journey to the Center of the Earth,2008,Journey to the Center of the Earth 2008,16929
249,Voyage au centre de la Terre,1864,Jules Verne,Journey to the Center of the Earth,2008,Journey to the Center of the Earth 2008,45361
250,Voyage au centre de la Terre,1864,Jules Verne,Journey to the Center of the Earth,2008,Journey to the Center of the Earth 2008,88751
251,Voyage au centre de la Terre,1864,Jules Verne,Journey to the Center of the Earth,2008,Journey to the Center of the Earth 2008,16929
252,Voyage au centre de la Terre,1864,Jules Verne,Journey to the Center of the Earth,2008,Journey to the Center of the Earth 2008,45361
253,Voyage au centre de la Terre,1864,Jules Verne,Journey to the Center of the Earth,2008,Journey to the Center of the Earth 2008,88751
254,Voyage au centre de la Terre,1864,Jules Verne,Journey to the Center of the Earth,2008,Journey to the Center of the Earth 2008,16929
255,Voyage au centre de la Terre,1864,Jules Verne,Journey to the Center of the Earth,2008,Journey to the Center of the Earth 2008,45361
256,Atlantis,1912,Gerhart Hauptmann,Atlantis,1913,Atlantis 1913,179835
257,Atonement,2001,Ian McEwan,Atonement,2007,Atonement 2007,4347
258,Audrey Rose,1975,0,Audrey Rose,1977,Audrey Rose 1977,49126
259,The Auction Block,1914,Rex Beach,The Auction Block,1917,The Auction Block 1917,0
260,The Auction Block,1914,Rex Beach,The Auction Block,1926,The Auction Block 1926,0
261,Auntie Mame,1955,Patrick Dennis,Auntie Mame,1958,Auntie Mame 1958,16347
262,Avalon High,2005,Meg Cabot,Avalon High,2010,Avalon High 2010,50479
263,The Aviator,1981,Ernest K. Gann,The Aviator,1985,The Aviator 1985,73462
